Country,Region,Population,Area,Pop. Density (per sq. mi.),Infant mortality,GDP (per capita),Literacy Rate,Arable land (%),Crops land (%),Other land (%),Birth Rate,Death Rate,Agriculture,Industry,Service
Papua New Guinea ,Oceania                            ,5670544,462840,12.3,0.05145,2200,0.646,0.46,1.44,98.1,0.2936,0.0725,0.353,0.381,0.266
Paraguay ,SouthAmerica,6506464,406750,16,0.02563,4700,0.94,7.6,0.23,92.17,0.291,0.0449,0.224,0.207,0.569
Peru ,SouthAmerica,28302603,1285220,22,0.03194,5100,0.909,2.89,0.4,96.71,0.2048,0.0623,0.08,0.27,0.65
Philippines ,Asia,89468677,300000,298.2,0.02351,4600,0.926,18.95,16.77,64.28,0.2489,0.0541,0.144,0.326,0.53
Poland ,Europe,38536869,312685,123.3,0.00851,11100,0.998,45.91,1.12,52.97,0.0985,0.0989,0.05,0.311,0.64
Portugal ,Europe,10605870,92391,114.8,0.00505,18000,0.933,21.75,7.81,70.44,0.1072,0.105,0.053,0.274,0.673
Puerto Rico ,SouthAmerica,3927188,13790,284.8,0.00824,16800,0.941,3.95,5.52,90.53,0.1277,0.0765,0.01,0.45,0.54
Qatar ,Asia,885359,11437,77.4,0.01861,21500,0.825,1.64,0.27,98.09,0.1556,0.0472,0.002,0.801,0.197
Reunion ,Africa,787584,2517,312.9,0.00778,5800,0.889,13.6,1.2,85.2,0.189,0.0549,0.08,0.19,0.73
Romania ,Europe,22303552,237500,93.9,0.02643,7000,0.984,40.82,2.25,56.93,0.107,0.1177,0.101,0.35,0.549
Russia ,Europe,142893540,17075200,8.4,0.01539,8900,0.996,7.33,0.11,92.56,0.0995,0.1465,0.054,0.371,0.575
Rwanda ,Africa,8648248,26338,328.4,0.09123,1300,0.704,40.54,12.16,47.3,0.4037,0.1609,0.401,0.229,0.37
Saint Vincent and the Grenadines ,SouthAmerica,117848,389,303,0.01478,2900,0.96,17.95,17.95,64.1,0.1618,0.0598,0.1,0.26,0.64
Samoa ,Oceania                            ,176908,2944,60.1,0.02771,5600,0.997,21.2,24.38,54.42,0.1643,0.0662,0.114,0.584,0.302
Saudi Arabia ,Asia,27019731,1960582,13.8,0.01324,11800,0.788,1.67,0.09,98.24,0.2934,0.0258,0.033,0.613,0.354
Senegal ,Africa,11987121,196190,61.1,0.05551,1600,0.402,12.78,0.21,87.01,0.3278,0.0942,0.172,0.209,0.619
Seychelles ,Africa,81541,455,179.2,0.01553,7800,0.58,2.22,13.33,84.45,0.1603,0.0629,0.032,0.304,0.665
Sierra Leone ,Africa,6005250,71740,83.7,0.14364,500,0.314,6.98,0.89,92.13,0.4576,0.2303,0.49,0.31,0.21
Singapore ,Asia,4492150,693,6482.2,0.00229,23700,0.925,1.64,0,98.36,0.0934,0.0428,0,0.339,0.661
Slovenia ,Europe,2010347,20273,99.2,0.00445,19000,0.997,8.6,1.49,89.91,0.0898,0.1031,0.028,0.369,0.603
Somalia ,Africa,8863338,637657,13.9,0.1167,500,0.378,1.67,0.04,98.29,0.4513,0.1663,0.65,0.1,0.25
South Africa ,Africa,44187637,1219912,36.2,0.06181,10700,0.864,12.08,0.79,87.13,0.182,0.22,0.025,0.303,0.671
Spain ,Europe,40397842,504782,80,0.00442,22000,0.979,26.07,9.87,64.06,0.1006,0.0972,0.04,0.295,0.665
Sri Lanka ,Asia,20222240,65610,308.2,0.01435,3700,0.923,13.86,15.7,70.44,0.1551,0.0652,0.178,0.276,0.545
Suriname ,SouthAmerica,439117,163270,2.7,0.02357,4000,0.93,0.37,0.06,99.57,0.1802,0.0727,0.13,0.22,0.65
Swaziland ,Africa,1136334,17363,65.5,0.06927,4900,0.816,10.35,0.7,88.95,0.2741,0.2974,0.119,0.515,0.366
Sweden ,Europe,9016596,449964,20,0.00277,26800,0.99,6.54,0.01,93.45,0.1027,0.1031,0.011,0.282,0.707
Switzerland ,Europe,7523934,41290,182.2,0.00439,32700,0.99,10.42,0.61,88.97,0.0971,0.0849,0.015,0.34,0.645
Syria ,Asia,18881361,185180,102,0.02953,3300,0.769,25.22,4.43,70.35,0.2776,0.0481,0.249,0.23,0.519
Tajikistan ,Asia,7320815,143100,51.2,0.11076,1000,0.994,6.61,0.92,92.47,0.3265,0.0825,0.234,0.286,0.48
Tanzania ,Africa,37445392,945087,39.6,0.09854,600,0.782,4.52,1.08,94.4,0.3771,0.1639,0.432,0.172,0.396
Thailand ,Asia,64631595,514000,125.7,0.02048,7400,0.926,29.36,6.46,64.18,0.1387,0.0704,0.099,0.441,0.46
Tonga ,Oceania                            ,114689,748,153.3,0.01262,2200,0.985,23.61,43.06,33.33,0.2537,0.0528,0.23,0.27,0.5
Turkey ,Europe,70413958,780580,90.2,0.04104,6700,0.865,30.93,3.31,65.76,0.1662,0.0597,0.117,0.298,0.585
Turkmenistan ,Asia,5042920,488100,10.3,0.07308,5800,0.98,3.72,0.14,96.14,0.2761,0.086,0.209,0.38,0.411
Uganda ,Africa,28195754,236040,119.5,0.06783,1400,0.699,25.88,10.65,63.47,0.4735,0.1224,0.311,0.222,0.469
Ukraine ,Europe,46710816,603700,77.4,0.02034,5400,0.997,56.21,1.61,42.18,0.0882,0.1439,0.187,0.452,0.361
United Arab Emirates ,Asia,2602713,82880,31.4,0.01451,23200,0.779,0.6,2.25,97.15,0.1896,0.044,0.04,0.585,0.375
United Kingdom ,Europe,60609153,244820,247.6,0.00516,27700,0.99,23.46,0.21,76.33,0.1071,0.1013,0.005,0.237,0.758
United States ,NorthAmerica                   ,298444215,9631420,31,0.0065,37800,0.97,19.13,0.22,80.65,0.1414,0.0826,0.01,0.204,0.787
Uruguay ,SouthAmerica,3431932,176220,19.5,0.01195,12800,0.98,7.43,0.23,92.34,0.1391,0.0905,0.093,0.311,0.596
Uzbekistan ,Asia,27307134,447400,61,0.0711,1700,0.993,10.83,0.83,88.34,0.2636,0.0784,0.342,0.229,0.43
Venezuela ,SouthAmerica,25730435,912050,28.2,0.0222,4800,0.934,2.95,0.92,96.13,0.1871,0.0492,0.04,0.419,0.541
Vietnam ,Asia,84402966,329560,256.1,0.02595,2500,0.903,19.97,5.95,74.08,0.1686,0.0622,0.209,0.41,0.381
Yemen ,Asia,21456188,527970,40.6,0.0615,800,0.502,2.78,0.24,96.98,0.4289,0.083,0.135,0.472,0.393
Zambia ,Africa,11502010,752614,15.3,0.08829,800,0.806,7.08,0.03,92.9,0.41,0.1993,0.22,0.29,0.489
Zimbabwe ,Africa,12236805,390580,31.3,0.06769,1900,0.907,8.32,0.34,91.34,0.2801,0.2184,0.179,0.243,0.579
